/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/PieChartMemoryTest.js: line 2, col 26, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/PieChartMemoryTest.js: line 4, col 36, 'ChartMemoryTest' is not defined.

4 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ColumnChartMemoryTest.js: line 2, col 29, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/ColumnChartMemoryTest.js: line 4, col 39, 'ChartMemoryTest' is not defined.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 2, col 28, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 24, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 26, col 22, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 27, col 5, 'assertNotUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 30, col 31, 'ElementMonitor' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 30, col 46, 'hasSVG' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 30, col 55, 'SVGElement' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 30, col 68, 'VMLElement' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 32, col 16, 'merge' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 34, col 22, 'Highcharts' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 35, col 5, 'assertNotUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 107, col 13, 'jstestdriver' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 109, col 9, 'assertTrue' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 113, col 5, 'assertNotUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 114, col 5, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 116, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 121, col 36, 'hasSVG' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 121, col 45, 'SVGElement' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 121, col 58, 'VMLElement' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/StockChartMemoryTest.js: line 5, col 16, 'minDate' is defined but never used.

20 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/AreaChartMemoryTest.js: line 2, col 27, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/AreaChartMemoryTest.js: line 4, col 37, 'ChartMemoryTest' is not defined.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/LineChartMemoryTest.js: line 2, col 27, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/gc/LineChartMemoryTest.js: line 4, col 37, 'ChartMemoryTest' is not defined.

2 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 7, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 295, col 6, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 859, col 44, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 866, col 44, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 881, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 943, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 2, col 20, 'TestCase' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 6, col 29, 'EventMonitor' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 6, col 42, 'addEvent' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 6, col 52, 'removeEvent' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 6, col 65, 'fireEvent' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 26, col 17, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 28, col 5, 'assertNotUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 31, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 31, col 37, 'adapterRun' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 42, col 5, 'each' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 47, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 61, col 5, 'assertEquals' is not defined.
